zcolo-cgw,198.154.124.14,2015-03-26 10:39:25.963026,vpn-795d8167,54.239.50.133,True,,2015-03-26 10:22:21
zcolo-cgw,198.154.124.14,2015-03-26 10:39:25.963073,vpn-795d8167,54.239.50.132,False,,2015-03-25 18:00:55
ragingwire-cgw,198.1.30.114,2015-03-26 10:39:25.963097,vpn-745d816a,54.239.50.133,True,,2015-03-25 22:55:12
ragingwire-cgw,198.1.30.114,2015-03-26 10:39:25.963122,vpn-745d816a,54.239.50.132,False,,2015-03-25 18:03:55
zcolo-cgw,198.154.124.14,2015-03-26 10:47:30.662160,vpn-795d8167,54.239.50.133,True,,2015-03-26 10:22:21
zcolo-cgw,198.154.124.14,2015-03-26 10:47:30.662211,vpn-795d8167,54.239.50.132,False,,2015-03-25 18:00:55
ragingwire-cgw,198.1.30.114,2015-03-26 10:47:30.662239,vpn-745d816a,54.239.50.133,True,,2015-03-25 22:55:12
ragingwire-cgw,198.1.30.114,2015-03-26 10:47:30.662263,vpn-745d816a,54.239.50.132,False,,2015-03-25 18:03:55
zcolo-cgw,198.154.124.14,2015-03-26 10:48:01.776651,vpn-795d8167,54.239.50.133,True,,2015-03-26 10:22:21
zcolo-cgw,198.154.124.14,2015-03-26 10:48:01.776698,vpn-795d8167,54.239.50.132,False,,2015-03-25 18:00:55
ragingwire-cgw,198.1.30.114,2015-03-26 10:48:01.776724,vpn-745d816a,54.239.50.133,True,,2015-03-25 22:55:12
ragingwire-cgw,198.1.30.114,2015-03-26 10:48:01.776746,vpn-745d816a,54.239.50.132,False,,2015-03-25 18:03:55
zcolo-cgw,198.154.124.14,2015-03-26 10:52:26.937053,vpn-795d8167,54.239.50.133,True,,2015-03-26 10:22:21
zcolo-cgw,198.154.124.14,2015-03-26 10:52:26.937108,vpn-795d8167,54.239.50.132,False,,2015-03-25 18:00:55
ragingwire-cgw,198.1.30.114,2015-03-26 10:52:26.937135,vpn-745d816a,54.239.50.133,True,,2015-03-25 22:55:12
ragingwire-cgw,198.1.30.114,2015-03-26 10:52:26.937159,vpn-745d816a,54.239.50.132,False,,2015-03-25 18:03:55
zcolo-cgw,198.154.124.14,2015-03-26 10:55:42.544135,vpn-795d8167,54.239.50.133,True,,2015-03-26 10:22:21
zcolo-cgw,198.154.124.14,2015-03-26 10:55:42.544193,vpn-795d8167,54.239.50.132,False,,2015-03-25 18:00:55
ragingwire-cgw,198.1.30.114,2015-03-26 10:55:42.544224,vpn-745d816a,54.239.50.133,True,,2015-03-25 22:55:12
ragingwire-cgw,198.1.30.114,2015-03-26 10:55:42.544251,vpn-745d816a,54.239.50.132,False,,2015-03-25 18:03:55
zcolo-cgw,198.154.124.14,2015-03-26 10:56:14.689032,vpn-795d8167,54.239.50.133,True,,2015-03-26 10:22:21
zcolo-cgw,198.154.124.14,2015-03-26 10:56:14.689085,vpn-795d8167,54.239.50.132,False,,2015-03-25 18:00:55
ragingwire-cgw,198.1.30.114,2015-03-26 10:56:14.689180,vpn-745d816a,54.239.50.133,True,,2015-03-25 22:55:12
ragingwire-cgw,198.1.30.114,2015-03-26 10:56:14.689223,vpn-745d816a,54.239.50.132,False,,2015-03-25 18:03:55
zcolo-cgw,198.154.124.14,2015-03-26 10:56:57.035578,vpn-795d8167,54.239.50.133,True,,2015-03-26 10:22:21
zcolo-cgw,198.154.124.14,2015-03-26 10:56:57.035632,vpn-795d8167,54.239.50.132,False,,2015-03-25 18:00:55
ragingwire-cgw,198.1.30.114,2015-03-26 10:56:57.035660,vpn-745d816a,54.239.50.133,True,,2015-03-25 22:55:12
ragingwire-cgw,198.1.30.114,2015-03-26 10:56:57.035686,vpn-745d816a,54.239.50.132,False,,2015-03-25 18:03:55
zcolo-cgw,198.154.124.14,2015-03-26 10:56:58.804007,vpn-795d8167,54.239.50.133,True,,2015-03-26 10:22:21
zcolo-cgw,198.154.124.14,2015-03-26 10:56:58.804066,vpn-795d8167,54.239.50.132,False,,2015-03-25 18:00:55
ragingwire-cgw,198.1.30.114,2015-03-26 10:56:58.804095,vpn-745d816a,54.239.50.133,True,,2015-03-25 22:55:12
ragingwire-cgw,198.1.30.114,2015-03-26 10:56:58.804120,vpn-745d816a,54.239.50.132,False,,2015-03-25 18:03:55
zcolo-cgw,198.154.124.14,2015-03-26 10:57:17.233007,vpn-795d8167,54.239.50.133,True,,2015-03-26 10:22:21
zcolo-cgw,198.154.124.14,2015-03-26 10:57:17.233061,vpn-795d8167,54.239.50.132,False,,2015-03-25 18:00:55
ragingwire-cgw,198.1.30.114,2015-03-26 10:57:17.233089,vpn-745d816a,54.239.50.133,True,,2015-03-25 22:55:12
ragingwire-cgw,198.1.30.114,2015-03-26 10:57:17.233114,vpn-745d816a,54.239.50.132,False,,2015-03-25 18:03:55
zcolo-cgw,198.154.124.14,2015-03-26 10:58:15.975586,vpn-795d8167,54.239.50.133,True,,2015-03-26 10:22:21
